antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_len,consequents_len,antecedents_TF_motif,antecedents_dir,antecedents_time,consequents_TF_motif,consequents_dir,consequents_time,TF_peak_jaccard,peak_adj_lift
UNCX_neg_1,NEUROD2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,UNCX,neg,1,NEUROD2,neg,1,0.030303030303030304,2.8520499108734403
UNCX_neg_1,GBX2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,UNCX,neg,1,GBX2,neg,1,0.06451612903225806,2.7514231499051234
POU2F2_neg_0,GSX1_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,POU2F2,neg,0,GSX1,neg,1,0.0,2.941176470588235
LMX1A_neg_1,GBX2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,LMX1A,neg,1,GBX2,neg,1,0.06451612903225806,2.7514231499051234
UNCX_neg_1,NFIX_neg_1,0.1,0.22666666666666666,10,0.6666666666666666,2.941176470588235,0.044,2.32,0.7333333333333333,1,1,UNCX,neg,1,NFIX,neg,1,0.09259259259259259,2.6688453159041394
UNCX_neg_1,HOXB2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,UNCX,neg,1,HOXB2,neg,1,0.13333333333333333,2.549019607843137
SRY_neg_1,GSX1_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,SRY,neg,1,GSX1,neg,1,0.06666666666666667,2.7450980392156863
POU2F2_neg_0,STAT1_pos_8,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,POU2F2,neg,0,STAT1,pos,8,0.0,2.941176470588235
POU2F2_neg_0,HOXB2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,POU2F2,neg,0,HOXB2,neg,1,0.0,2.941176470588235
TCF3_pos_2,TFAP4_pos_2,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,TCF3,pos,2,TFAP4,pos,2,0.11428571428571428,2.6050420168067223
LMX1A_neg_1,NEUROD2_neg_1,0.1,0.11333333333333333,5,0.3333333333333333,2.941176470588235,0.022,1.3299999999999998,0.7333333333333333,1,1,LMX1A,neg,1,NEUROD2,neg,1,0.030303030303030304,2.8520499108734403
NR2F2_neg_1,ELF3_neg_1,0.13333333333333333,0.15333333333333332,9,0.45,2.9347826086956523,0.03955555555555555,1.5393939393939393,0.7606837606837606,1,1,NR2F2,neg,1,ELF3,neg,1,0.045454545454545456,2.8013833992094863
NR2F2_neg_1,SREBF2_neg_1,0.13333333333333333,0.15333333333333332,9,0.45,2.9347826086956523,0.03955555555555555,1.5393939393939393,0.7606837606837606,1,1,NR2F2,neg,1,SREBF2,neg,1,0.0425531914893617,2.809898242368178
LMX1B_neg_1,NEUROG2_neg_1,0.10666666666666667,0.10666666666666667,5,0.3125,2.9296875,0.021955555555555555,1.2993939393939393,0.7373134328358208,1,1,LMX1B,neg,1,NEUROG2,neg,1,0.030303030303030304,2.840909090909091
